177 180627 370 66 1 167359 452 174581 471 46627 126 65454 176
178 180628 359 76 2 167004 465 183848 512 45856 127 68703 191
179 180629 329 116 5 224045 680 260267 791 64980 197 81325 247
180 180630 259 75 6 156869 605 177533 685 48203 186 51033 197
181 180701 327 92 3 185879 568 211891 647 56620 173 73018 223
182 180702 352 62 1 147945 420 165989 471 50898 144 78972 224
183 180703 338 54 1 129216 382 151089 447 51781 153 75002 221
184 180704 332 68 2 151505 456 167513 504 48732 146 73418 221
185 180705 332 54 0 136312 410 149262 449 42770 128 67119 202
186 180706 332 64 3 138067 415 154542 465 48679 146 68592 206
187 180707 260 62 0 146225 562 144904 557 32395 124 41215 158
188 180708 306 67 2 147451 481 160767 525 40456 132 57220 186
189 180709 336 61 2 143010 425 152949 455 47966 142 66370 197
190 180710 321 58 1 144021 448 147182 458 41433 129 55281 172
191 180711 323 56 3 131791 408 136499 422 40492 125 62902 194
192 180712 315 56 2 140964 447 146943 466 38865 123 56370 178
193 180713 328 60 3 145494 443 154603 471 39336 119 52957 161
194 180714 256 57 0 151319 591 150748 588 24601 96 42977 167
195 180715 315 69 4 156877 498 174841 555 48441 153 64474 204
196 180716 328 84 8 198484 605 223669 681 54591 166 68060 207
197 180717 317 70 3 150330 474 173033 545 61836 195 73998 233
198 180718 320 69 5 148231 463 165398 516 53704 167 73282 229
199 180719 313 57 5 136125 434 158322 505 55926 178 76929 245
200 180720 318 63 2 156245 491 157706 495 36766 115 50135 157
201 180721 256 77 7 181067 707 186357 727 37863 147 51879 202
202 180722 298 82 2 165274 554 178278 598 35601 119 54871 184
203 180723 326 69 2 152525 467 161895 496 34242 105 55614 170
204 180724 323 45 4 120075 371 137513 425 43354 134 66028 204
205 180725 318 50 3 119460 375 133230 418 38975 122 59953 188
206 180726 311 66 3 155372 499 161081 517 37076 119 51128 164
207 180727 315 74 5 195671 621 206386 655 52815 167 60709 192
208 180728 243 83 2 215071 885 210297 865 29939 123 43971 180
209 180729 286 107 11 199147 696 250755 876 69324 242 83869 293
210 180730 322 74 4 152495 473 184828 574 57234 177 74462 231
211 180731 323 68 1 160660 497 177325 548 43952 136 61715 191
212 180801 317 66 0 151990 479 153162 483 26832 84 49964 157
213 180802 318 60 2 160633 505 171606 539 38440 120 58511 183
214 180803 327 60 3 144993 443 158760 485 39048 119 61648 188
215 180804 256 72 5 181589 709 186130 727 36244 141 49660 193
216 180805 317 112 24 196236 619 253261 798 77620 244 79034 249
217 180806 328 66 1 152847 465 163147 497 42574 129 59817 182
218 180807 322 42 1 111183 345 120412 373 32727 101 53296 165
219 180808 320 57 1 137976 431 147991 462 32660 102 51770 161
220 180809 320 55 1 146177 456 157287 491 35870 112 57630 180
221 180810 323 81 5 184542 571 198222 613 48454 150 64841 200
222 180811 253 66 1 149982 592 158470 626 36482 144 46406 183
223 180812 327 72 2 154562 472 190852 583 55991 171 67683 206
224 180813 358 55 1 123824 345 137211 383 39417 110 55023 153
225 180814 366 58 3 123798 338 147219 402 54425 148 74705 204
226 180815 369 51 0 118404 320 136476 369 52587 142 70351 190
227 180816 362 39 0 118003 325 126538 349 34843 96 63789 176
228 180817 353 63 3 128645 364 155593 440 54084 153 71492 202
229 180818 259 47 2 126016 486 134034 517 31457 121 49035 189
230 180819 351 55 5 146000 415 156062 444 40544 115 55330 157
231 180820 371 29 5 95691 257 117176 315 62887 169 68936 185
232 180821 368 44 5 94396 256 115153 312 61193 166 76060 206
233 180822 384 45 2 110220 287 133232 346 58327 151 84344 219
234 180823 385 42 0 111712 290 122836 319 41960 108 67914 176
235 180824 372 53 2 130884 351 139045 373 43987 118 63819 171
236 180825 253 45 0 130762 516 121741 481 21838 86 42573 168
237 180826 336 50 0 126576 376 142555 424 41767 124 60555 180
238 180827 379 43 2 113791 300 124937 329 44538 117 67426 177
239 180828 368 40 0 92195 250 112474 305 52618 142 68989 187
240 180829 387 45 0 113425 293 130162 336 44548 115 62801 162
241 180830 392 59 7 106745 272 126476 322 56283 143 78650 200
242 180831 382 58 2 139520 365 154163 403 58598 153 80651 211
243 180901 251 59 1 139924 557 132444 527 24265 96 32804 130
244 180902 343 60 0 139889 407 153962 448 40456 117 58954 171
245 180903 392 34 2 114064 290 121489 309 38171 97 58978 150
246 180904 380 39 2 100026 263 113826 299 48669 128 63069 165
247 180905 396 62 13 120130 303 158382 399 76571 193 92132 232
248 180906 396 59 11 133651 337 178690 451 90452 228 97712 246
249 180907 385 41 6 107320 278 137871 358 73184 190 82196 213
250 180908 264 47 0 114228 432 113497 429 27193 103 49615 187
251 180909 339 41 1 96492 284 111961 330 43030 126 58876 173
252 180910 394 41 4 97809 248 120395 305 56589 143 78267 198
253 180911 384 43 2 103691 270 131902 343 64158 167 85458 222
254 180912 391 50 11 88934 227 125332 320 76702 196 93982 240
255 180913 402 45 1 105515 262 118384 294 46563 115 69334 172
256 180914 376 35 0 104977 279 112623 299 39877 106 64004 170
257 180915 249 38 1 93040 373 91582 367 26951 108 46292 185
258 180916 332 35 3 103315 311 121241 365 46385 139 70022 210
259 180917 394 49 11 95479 242 136348 346 75554 191 92080 233
260 180918 386 38 2 97148 251 115809 300 51160 132 87440 226
261 180919 398 33 5 69312 174 105951 266 70691 177 96829 243
262 180920 397 44 4 98445 247 128833 324 69721 175 94633 238
263 180921 384 69 10 133275 347 165329 430 70210 182 91752 238
264 180922 251 40 0 94030 374 102266 407 31717 126 50279 200
265 180923 339 61 1 130757 385 155964 460 50046 147 67047 197
266 180924 390 121 10 172418 442 259410 665 111177 285 111002 284
267 180925 381 42 8 94807 248 139811 366 82525 216 84667 222
268 180926 396 111 29 120597 304 229538 579 139826 353 141880 358
269 180927 397 57 10 117439 295 150694 379 75282 189 83404 210
270 180928 388 79 8 135873 350 190725 491 84374 217 91342 235
271 180929 247 34 1 84931 343 93979 380 35729 144 47205 191
272 180930 340 50 1 125525 369 144004 423 48423 142 69763 205
273 181001 381 43 1 115772 303 117232 307 46073 120 58906 154
274 181002 373 37 0 91458 245 103785 278 45862 122 64006 171
275 181003 400 61 29 91527 228 168408 421 126593 316 131859 329
276 181004 393 35 3 89422 227 121266 308 72701 184 88453 225
277 181005 387 39 3 106895 276 120883 312 47058 121 67149 173
278 181006 240 23 0 80267 334 76224 317 20458 85 35700 148
279 181007 339 55 1 121545 358 142079 419 50917 150 61062 180
280 181008 388 49 1 111129 286 128021 329 56504 145 84646 218
281 181009 373 29 6 71823 192 103434 277 67137 179 83421 223
282 181010 388 25 3 87026 224 95415 245 46293 119 69944 180
283 181011 372 29 0 96615 259 102752 276 33635 90 62526 168
284 181012 373 40 0 112265 300 120036 321 34171 91 61826 165
285 181013 238 21 1 73553 309 66156 277 21339 89 41292 173
286 181014 322 38 0 112446 349 109278 339 28808 89 53558 166
287 181015 381 31 0 95068 249 97582 256 31989 83 58865 154
288 181016 380 20 0 60400 158 81440 214 56705 149 81610 214
289 181017 380 22 1 67968 178 82239 216 42168 110 67338 177
290 181018 373 31 1 87664 235 102658 275 50580 135 70047 187
291 181019 371 37 1 104474 281 109801 295 40950 110 62050 167
292 181020 234 30 2 73261 313 85723 366 31251 133 44339 189
293 181021 324 37 1 99963 308 111925 345 37435 115 62118 191
294 181022 387 49 8 107604 278 137697 355 69070 178 87734 226
